id,name
10140,Albuquerque International Sunport
10299,Ted Stevens Anchorage International
10397,Hartsfield-Jackson Atlanta International
10423,Austin - Bergstrom International
10529,Bradley International
10693,Nashville International
10721,Logan International
10792,Buffalo Niagara International
10800,Bob Hope
10821,Baltimore/Washington International Thurgood Marshall
11042,Cleveland-Hopkins International
11057,Charlotte Douglas International
11066,Port Columbus International
11193,Cincinnati/Northern Kentucky International
11259,Dallas Love Field
11278,Ronald Reagan Washington National
11292,Denver International
11298,Dallas/Fort Worth International
11433,Detroit Metro Wayne County
11618,Newark Liberty International
11697,Fort Lauderdale-Hollywood International
12173,Honolulu International
12191,William P Hobby
12264,Washington Dulles International
12266,George Bush Intercontinental/Houston
12339,Indianapolis International
12451,Jacksonville International
12478,John F. Kennedy International
12889,McCarran International
12892,Los Angeles International
12953,LaGuardia
12954,Long Beach Airport
13198,Kansas City International
13204,Orlando International
13232,Chicago Midway International
13244,Memphis International
13303,Miami International
13342,General Mitchell International
13487,Minneapolis-St Paul International
13495,Louis Armstrong New Orleans International
13796,Metropolitan Oakland International
13830,Kahului Airport
13851,Will Rogers World
13871,Eppley Airfield
13891,Ontario International
13930,Chicago O'Hare International
13931,Norfolk International
14027,Palm Beach International
14057,Portland International
14100,Philadelphia International
14107,Phoenix Sky Harbor International
14122,Pittsburgh International
14307,Theodore Francis Green State
14492,Raleigh-Durham International
14524,Richmond International
14570,Reno/Tahoe International
14635,Southwest Florida International
14679,San Diego International
14683,San Antonio International
14730,Louisville International-Standiford Field
14747,Seattle/Tacoma International
14771,San Francisco International
14831,Norman Y. Mineta San Jose International
14843,Luis Munoz Marin International
14869,Salt Lake City International
14893,Sacramento International
14908,John Wayne Airport-Orange County
15016,Lambert-St. Louis International
15304,Tampa International
15376,Tucson International
